FirstName,LastName,Player,Team,Place,Result,Date,Number,Tries,Drops,Penalties,Conversions,Points,Pen_Cards,Minutes
Boan,VENTER,Boan VENTER,Edinburgh,HOME,L,20/09,17,,,,,,,24
Boan,VENTER,Boan VENTER,Edinburgh,AWAY,L,28/09,17,,,,,,,23
Boan,VENTER,Boan VENTER,Edinburgh,AWAY,L,05/10,17,,,,,,,24
Boan,VENTER,Boan VENTER,Edinburgh,HOME,W,12/10,17,,,,,,,23
Boan,VENTER,Boan VENTER,Edinburgh,HOME,W,19/10,1,,,,,,,47
Boan,VENTER,Boan VENTER,Edinburgh,AWAY,L,26/10,1,,,,,,,80
Boan,VENTER,Boan VENTER,Edinburgh,HOME,W,30/11,17,,,,,,,19
Boan,VENTER,Boan VENTER,Edinburgh,AWAY,L,06/12,1,,,,,,,80
Boan,VENTER,Boan VENTER,Edinburgh,HOME,W,13/12,17,,,,,,,20
Boan,VENTER,Boan VENTER,Edinburgh,AWAY,L,22/12,17,2,,,,10,,24
Boan,VENTER,Boan VENTER,Edinburgh,HOME,W,28/12,1,,,,,,,47
Boan,VENTER,Boan VENTER,Edinburgh,AWAY,W,11/01,17,,,,,,,31
Boan,VENTER,Boan VENTER,Edinburgh,HOME,W,19/01,17,,,,,,,31
Boan,VENTER,Boan VENTER,Edinburgh,AWAY,L,25/01,1,,,,,,,64
Boan,VENTER,Boan VENTER,Edinburgh,HOME,L,14/02,1,,,,,,,65
Boan,VENTER,Boan VENTER,Edinburgh,AWAY,W,28/02,1,,,,,,,65
Boan,VENTER,Boan VENTER,Edinburgh,AWAY,L,22/03,1,,,,,,,75
Boan,VENTER,Boan VENTER,Edinburgh,HOME,W,28/03,17,1,,,,5,,30
Boan,VENTER,Boan VENTER,Edinburgh,HOME,W,04/04,17,,,,,,,26
Boan,VENTER,Boan VENTER,Edinburgh,HOME,W,12/04,1,,,,,,,50
Boan,VENTER,Boan VENTER,Edinburgh,HOME,L,18/04,17,,,,,,,24
Boan,VENTER,Boan VENTER,Edinburgh,AWAY,D,25/04,1,2,,,,10,,70
Boan,VENTER,Boan VENTER,Edinburgh,HOME,L,03/05,17,,,,,,,27
Boan,VENTER,Boan VENTER,Edinburgh,AWAY,W,10/05,17,,,,,,,18
Boan,VENTER,Boan VENTER,Edinburgh,AWAY,L,31/05,17,,,,,,,30
Boan,VENTER,Boan VENTER,South Africa,HOME,W,19/07,1,1,,,,5,,44
