Player,Wins,Losses,Tries,Drops,Penalties,Conversions,Points,Pen_Cards,Minutes
André ESTERHUIZEN,17,7,7.0,0.0,0.0,0.0,35.0,0.0,1679
Asenathi NTLABAKANYE,11,13,1.0,0.0,0.0,0.0,5.0,0.0,1302
Ben-Jason DIXON,5,8,1.0,0.0,0.0,0.0,5.0,1.0,805
Boan VENTER,15,14,6.0,0.0,0.0,0.0,30.0,0.0,1153
Bongi MBONAMBI,16,6,3.0,0.0,0.0,0.0,15.0,0.0,1127
Canan MOODIE,22,10,12.0,0.0,0.0,0.0,60.0,1.0,2165
Cheslin KOLBE,14,7,14.0,0.0,6.0,14.0,116.0,2.0,1615
Cobus REINACH,17,9,7.0,0.0,0.0,0.0,35.0,0.0,1232
Damian DE ALLENDE,20,5,8.0,0.0,0.0,0.0,40.0,0.0,2003
Damian WILLEMSE,12,5,4.0,2.0,1.0,10.0,49.0,2.0,1080
Eben ETZEBETH,14,2,2.0,0.0,0.0,0.0,10.0,2.0,1060
Edwill VAN DER MERWE,11,13,13.0,0.0,0.0,0.0,65.0,0.0,1866
Ethan HOOKER,16,10,9.0,0.0,0.0,0.0,45.0,1.0,1941
Franco MOSTERT,11,12,5.0,0.0,0.0,0.0,25.0,2.0,1465
Gerhard STEENEKAMP,10,5,1.0,0.0,0.0,0.0,5.0,2.0,765
Grant WILLIAMS,15,4,6.0,0.0,0.0,0.0,30.0,0.0,946
Handré POLLARD,18,9,3.0,1.0,26.0,74.0,244.0,1.0,1911
Jasper WIESE,9,8,3.0,0.0,0.0,0.0,15.0,1.0,1028
Jean KLEYN,7,7,0.0,0.0,0.0,0.0,0.0,0.0,856
Jesse KRIEL,12,12,10.0,0.0,0.0,0.0,50.0,1.0,1870
Johan GROBBELAAR,17,7,5.0,0.0,0.0,0.0,25.0,1.0,1078
Kurt-Lee ARENDSE,13,9,16.0,0.0,0.0,0.0,80.0,0.0,1602
Kwagga SMITH,21,7,6.0,0.0,0.0,0.0,30.0,1.0,1586
Lood DE JAGER,12,6,7.0,0.0,0.0,0.0,35.0,0.0,1060
Malcolm MARX,25,5,16.0,0.0,0.0,0.0,80.0,1.0,1672
Manie LIBBOK,10,6,3.0,0.0,3.0,32.0,88.0,1.0,900
Marco VAN STADEN,16,7,4.0,0.0,0.0,0.0,20.0,0.0,1186
Morné VAN DEN BERG,11,8,5.0,0.0,0.0,1.0,27.0,0.0,1276
Ox NCHÉ,18,7,0.0,0.0,0.0,0.0,0.0,0.0,1401
Pieter-Steph DU TOIT,7,2,3.0,0.0,0.0,0.0,15.0,0.0,669
RG SNYMAN,29,2,5.0,0.0,0.0,0.0,25.0,0.0,1543
Ruan NORTJÉ,18,3,1.0,0.0,0.0,0.0,5.0,0.0,1390
Sacha FEINBERG-MNGOMEZULU,14,4,7.0,4.0,11.0,37.0,154.0,1.0,919
Siya KOLISI,16,8,10.0,0.0,0.0,0.0,50.0,0.0,1599
Thomas DU TOIT,28,6,10.0,0.0,0.0,0.0,50.0,0.0,1554
Wilco LOUW,23,9,1.0,0.0,0.0,0.0,5.0,2.0,1617
Zach PORTHEN,1,0,0.0,0.0,0.0,0.0,0.0,0.0,23
